area_id,sex,agegr_id,indicator,time,mean,se,median,lower,upper
MWI,male,19,num_art_facility,2016.25,35045.8279435357,2948.39907495113,34994.1710078577,29384.9241014707,41199.635196699
MWI,male,20,num_art_facility,2016.25,32672.2327431713,2753.82862673676,32670.4226985413,27301.775483112,38299.4337045672
MWI,male,29,num_art_facility,2016.25,57700.2972488228,5063.38901049729,57623.900422768,48344.2765892379,68136.7623156559
MWI,female,14,num_art_facility,2016.25,10935.9377572776,1589.96274050437,10854.0652442151,8010.53315449907,14130.8611669335
MWI,female,15,num_art_facility,2016.25,22781.4959455256,2328.29105369322,22645.501206715,18535.4420503203,27586.6769823844
MWI,female,16,num_art_facility,2016.25,47207.2439582915,3057.18329158607,47307.3169364969,41295.9166098942,53092.4571041664
MWI,female,17,num_art_facility,2016.25,59410.5612971807,3333.37428408149,59305.6499574852,53021.5829057515,66059.6131600776
MWI,female,18,num_art_facility,2016.25,71399.6755812936,3684.10522489669,71325.0423025396,64367.0909559813,78612.3898983556
MWI,female,19,num_art_facility,2016.25,59405.5277297274,3511.06290192388,59409.4170512333,52732.1110389961,66583.5979557051
MWI,female,20,num_art_facility,2016.25,39311.0471271167,2825.84328455813,39282.3021418337,33948.4446893148,45124.9159820652
MWI,female,29,num_art_facility,2016.25,59691.8324970638,5496.04843210769,59753.4068889138,49473.259622665,70810.4772313183
MWI,male,14,infections,2016.25,576.273192797071,27.7489121625802,575.880871527962,523.140713711945,631.504082648685
MWI,male,15,infections,2016.25,2714.63839148225,130.48478485752,2710.44874337983,2467.72544616783,2975.75951322711
MWI,male,16,infections,2016.25,3071.55315467824,151.980711721698,3068.94049257683,2786.54197730009,3366.85471616484
MWI,male,17,infections,2016.25,2351.634689117,119.707500201447,2350.51718602122,2129.35709519308,2591.34418701701
MWI,male,18,infections,2016.25,1556.73907077405,80.4356288157507,1555.43013456478,1398.92174175117,1714.93740850014
MWI,male,19,infections,2016.25,902.177689606501,48.318201063662,901.668336664729,810.791171758072,999.032796779729
MWI,male,20,infections,2016.25,482.266160471767,26.8447325602911,481.709177177632,433.074576369403,537.176780782239
MWI,male,29,infections,2016.25,668.917912138398,34.8611234994475,668.522980773868,603.134628253485,737.877103515258
MWI,female,14,infections,2016.25,5296.69524607358,254.60278986537,5289.91973374305,4801.63035565992,5796.09561562864
MWI,female,15,infections,2016.25,5574.83737798451,259.22308886857,5568.11209112548,5082.84232941365,6084.79655247333
MWI,female,16,infections,2016.25,4270.54577609724,198.766776195722,4267.49092888156,3887.87713255293,4653.25768134354
MWI,female,17,infections,2016.25,2822.47581125326,126.152391480534,2823.658625391,2570.75313870055,3068.40086278417
MWI,female,18,infections,2016.25,1668.36974424443,76.4924087398982,1666.47115756458,1519.07848269101,1820.24617635491
MWI,female,19,infections,2016.25,992.216937436106,50.3219358825342,989.672852178628,896.610180125054,1097.9789516897
MWI,female,20,infections,2016.25,622.248365407724,33.4212005296022,620.902557270371,559.869254114003,690.564738038982
MWI,female,29,infections,2016.25,1028.47420157473,55.5462864986272,1026.35450548283,923.832300623575,1142.96327132131
MWI,male,14,prevalence,2016.25,0.010671645381317,0.002141744377495,0.010524540823886,0.006873164708902,0.01518959345867
MWI,male,15,prevalence,2016.25,0.016386525937483,0.003016269617809,0.016171170850667,0.011013623697173,0.022750487888712
MWI,male,16,prevalence,2016.25,0.058009857958283,0.006478912012736,0.057797552579129,0.046417148485888,0.070933502917143
MWI,male,17,prevalence,2016.25,0.109478616843752,0.008770626037067,0.109324696734119,0.092842091907466,0.127516481546764
MWI,male,18,prevalence,2016.25,0.131211100231662,0.010254179033355,0.130948369492672,0.112438968217711,0.15149698489004
MWI,male,19,prevalence,2016.25,0.164890404239783,0.013170518203587,0.164439978042285,0.139915954176363,0.190897050060979
MWI,male,20,prevalence,2016.25,0.200491373906452,0.015832920765155,0.200421305305686,0.169902299794505,0.231769266671663
MWI,male,29,prevalence,2016.25,0.116138497719049,0.00967305267133,0.11576553193127,0.098527563741491,0.136034168981059
MWI,female,14,prevalence,2016.25,0.02402351042729,0.003030049074753,0.023916883979354,0.018405167575653,0.030193245484271
MWI,female,15,prevalence,2016.25,0.060574338183454,0.004567721837972,0.060368464139384,0.051973607095128,0.070428889413808
MWI,female,16,prevalence,2016.25,0.107766006347225,0.006494816168557,0.107773359071546,0.095316237548158,0.120683282843697
MWI,female,17,prevalence,2016.25,0.162681504931676,0.008125092055099,0.1624963214286,0.147482588954622,0.179505232950696
MWI,female,18,prevalence,2016.25,0.210554624690773,0.010319546697048,0.21036869778671,0.190686268740353,0.23063518671156
MWI,female,19,prevalence,2016.25,0.219107230792295,0.012548785030405,0.219190780557437,0.19446394313645,0.243882091293009
MWI,female,20,prevalence,2016.25,0.187890024701739,0.013345254244822,0.187863938863773,0.161915813759594,0.215419159844667
